# api.io.mi.com 影响米家互联的使用。
# connectivitycheck.gstatic.com 影响 GooglePlay
# XX.market.mi-img.com 影响MIUI小部件
# XX.market.xiaomi.com 影响MIUI小部件
127.0.0.1 3dns-2.adobe.com
127.0.0.1 3dns-3.adobe.com
127.0.0.1 4009997658.com
127.0.0.1 519332DA.rtc.youme.im
127.0.0.1 86file.megajoy.com
127.0.0.1 86get.joy.cn
127.0.0.1 a.applvn.com
127.0.0.1 a.cctv.com
127.0.0.1 a.cntv.cn
127.0.0.1 aaid.umeng.com
127.0.0.1 acroipm.adobe.com
127.0.0.1 acs.youku.com
127.0.0.1 act.vip.iqiyi.com
127.0.0.1 activate-sea.adobe.com
127.0.0.1 activate-sjc0.adobe.com
127.0.0.1 activate.adobe.com
127.0.0.1 activate.wip3.adobe.com
127.0.0.1 ad.88765.com
127.0.0.1 ad.cctv.com
127.0.0.1 ad.cntv.cn
127.0.0.1 ad.doubleclick.net
127.0.0.1 ad.hpplay.cn
127.0.0.1 ad.ihuman.com
127.0.0.1 ad.iqiyi.com
127.0.0.1 ad.mi.com
127.0.0.1 ad.qq.com
127.0.0.1 ad.tencentmusic.com
127.0.0.1 ad.toutiao.com
127.0.0.1 ad.weixin.qq.com
127.0.0.1 ad.xelements.cn
127.0.0.1 ad.xiaomi.com
127.0.0.1 ad.xunkids.com
127.0.0.1 ad.youku.com
127.0.0.1 ad1.xiaomi.com
127.0.0.1 adash.m.taobao.com
127.0.0.1 adash.man.aliyuncs.com
127.0.0.1 adashbc.ut.taobao.com
127.0.0.1 adashx.m.taobao.com
127.0.0.1 adc.hpplay.cn
127.0.0.1 adcdn.hpplay.cn
127.0.0.1 adcolony.com
127.0.0.1 adcontroL.tudou.com
127.0.0.1 adeng.hpplay.cn
127.0.0.1 adextensioncontrol.tudou.com
127.0.0.1 adguanggao.eee114.com
127.0.0.1 adiu.amap.com
127.0.0.1 adjust.com
127.0.0.1 adl.xiaomi.com
127.0.0.1 admaster.com
127.0.0.1 admaster.com.cn
127.0.0.1 adobe-dns-2.adobe.com
127.0.0.1 adobe-dns-3.adobe.com
127.0.0.1 adping.qq.com
127.0.0.1 adplay.tudou.com
127.0.0.1 ads.95516.com
127.0.0.1 ads.api.vungle.com
127.0.0.1 ads.cn.miaozhen.com
127.0.0.1 ads.serving-sys.cn
127.0.0.1 ads.union.jd.com
127.0.0.1 ads-union.jd.com
127.0.0.1 adsclick.qq.com
127.0.0.1 adsfile.qq.com
127.0.0.1 adsh.wagbridge.taobao.alimama.com
127.0.0.1 adshmct.qq.com
127.0.0.1 adshmmsg.qq.com
127.0.0.1 adslvfile.qq.com
127.0.0.1 adslvseed.qq.com
127.0.0.1 adsmind.gdtimg.com
127.0.0.1 adsmind.ugdtimg.com
127.0.0.1 adsmoloco.com
127.0.0.1 adsqqclick.qq.com
127.0.0.1 adsrich.qq.com
127.0.0.1 adstats.tencentmusic.com
127.0.0.1 adv.sec.miui.com
127.0.0.1 advertising.com
127.0.0.1 adx.tv.mi.com
127.0.0.1 affise.com
127.0.0.1 afp.qiyi.com
127.0.0.1 alert.kuyun.com
127.0.0.1 ali-ad.a.yximgs.com
127.0.0.1 alog.umeng.com
127.0.0.1 amdc.m.taobao.com
127.0.0.1 analytics.rayjump.com
127.0.0.1 android.bugly.qq.com
127.0.0.1 api.ad.xiaomi.com
127.0.0.1 api.cupid.ptqy.gitv.tv
127.0.0.1 api.fd.mob.com
127.0.0.1 api.hpplay.com.cn
127.0.0.1 api.kingdata.ksyun.com
127.0.0.1 api.onesignal.com
127.0.0.1 api.ts.feedback.qy.net
127.0.0.1 api.vc.bilibili.com
127.0.0.1 api.vungle.com
127.0.0.1 applog-perf.uc.cn
127.0.0.1 applog.uc.cn
127.0.0.1 applovin.com
127.0.0.1 applvn.com
127.0.0.1 apps.corel.com
127.0.0.1 appsflyer.com
127.0.0.1 as.weixin.qq.com
